year,title,author,cover_image
2004,The Romantic,Barbara Gowdy,http://books.google.com/books/content?id=fnuwF86HfdsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,The Pagan Christ: Recovering the Lost Light,Tom Harpur,http://books.google.com/books/content?id=rddsAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,Shake Hands With The Devil: The Failure of Humanity in Rwanda,Romeo Dallaire,http://books.google.com/books/content?id=tNKExJ3MBIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,Dark Age Ahead,Jane Jacobs,http://books.google.com/books/content?id=83OPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2004,Who Killed the Canadian Military?,J.L. Granatstein,http://books.google.com/books/content?id=ztAqAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2004,"Juno: Canadians at D-Day June 6, 1944",Ted Barris,http://books.google.com/books/content?id=f53vAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2004,The Trouble with Islam,Irshad Manji,http://books.google.com/books/content?id=wb5InXNkDacC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,How to Be a Canadian,"Will Ferguson, Ian Ferguson",http://books.google.com/books/content?id=qhiqXtpNHFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2004,Paris 1919: Six Months that Changed the World,Margaret MacMillan,http://books.google.com/books/content?id=dhKPDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,Shake Hands With The Devil: The Failure of Humanity in Rwanda,Romeo Dallaire,http://books.google.com/books/content?id=tNKExJ3MBIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,No Logo: Taking Aim at the Brand Bullies,Naomi Klein,http://books.google.com/books/content?id=Yq_WAUXqRAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,"Fire and Ice: The United States, Canada and the Myth of Converging Values",Michael Adams,http://books.google.com/books/content?id=2YZROQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2005,A Complicated Kindness,Miriam Toews,http://books.google.com/books/content?id=ftoREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Until I Find You,John Irving,http://books.google.com/books/content?id=YfNgYQdWw0gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,A Map of Glass,Jane Urquhart,http://books.google.com/books/content?id=zW5YLler8y8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,The Penelopiad,Margaret Atwood,http://books.google.com/books/content?id=TWFQBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Runaway,Alice Munro,http://books.google.com/books/content?id=2rrCgLQtTtQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,A Complicated Kindness,Miriam Toews,http://books.google.com/books/content?id=ftoREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Rockbound,Frank Parker Day,http://books.google.com/books/content?id=D3MzbMXv8JMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,http://books.google.com/books/content?id=VKGbb1hg8JAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,A Short History of Progress,Ronald Wright,http://books.google.com/books/content?id=nzWPFQIEvfEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,The Collapse of Globalism: And the Reinvention of the World,John Ralston Saul,http://books.google.com/books/content?id=6eeOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2005,The Secret Mulroney Tapes: Unguarded Confessions of a Prime Minister,Peter C. Newman,http://books.google.com/books/content?id=SlWW5UTyDRQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Terry,Douglas Coupland,http://books.google.com/books/content?id=ZYO7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2005,Race Against Time: Searching for Hope in AIDS-Ravaged Africa,Stephen Lewis,http://books.google.com/books/content?id=g6BZOLfrU_UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Future: Tense,Gwynne Dyer,http://books.google.com/books/content?id=C_uOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2005,The Pagan Christ: Recovering the Lost Light,Tom Harpur,http://books.google.com/books/content?id=rddsAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,http://books.google.com/books/content?id=yBDBEGBIUmgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Shake Hands With The Devil: The Failure of Humanity in Rwanda,Romeo Dallaire,http://books.google.com/books/content?id=tNKExJ3MBIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Paris 1919: Six Months that Changed the World,Margaret MacMillan,http://books.google.com/books/content?id=dhKPDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,Dark Age Ahead,Jane Jacobs,http://books.google.com/books/content?id=83OPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2005,The Rebel Sell: Why the Culture Can't Be Jammed,"Joseph Heath, Andrew Potter",http://books.google.com/books/content?id=PSUFJ7-AecIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,The Road to Hell: How the Biker Gangs are Conquering Canada,"Julian Sher, William Marsden",http://books.google.com/books/content?id=ToCy5cH253YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2005,In Praise of Slow: How a Worldwide Movement is Challenging the Cult of Speed,Carl Honoré,http://books.google.com/books/content?id=K88bHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2005,Karla: A Pact with the Devil,Stephen Williams,http://books.google.com/books/content?id=eFpIQI2YMd0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2006,The Birth House,Ami McKay,http://books.google.com/books/content?id=Ji9AmNAI3CMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2006,JPod,Douglas Coupland,http://books.google.com/books/content?id=OIwKnhgP4FQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2006,Book of Longing,Leonard Cohen,http://books.google.com/books/content?id=ZSbiAXUaf34C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2006,Secrets from the Vinyl Cafe,Stuart McLean,http://books.google.com/books/content?id=w9Jpa0MWJ_EC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2006,The Time in Between,David Bergen,http://books.google.com/books/content?id=7b9_OeE-z1oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
